year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,1,HAM,81.6075,81.164,0.627203,2,0.4435,26.9185,22.1695,32.5195,26.698,22.066,32.4,2
2018,1,RAI,82.0395,81.828,0.299106,2,0.2115,27.123,22.2745,32.642,26.992,22.204,32.632,2
2018,1,VET,81.9615,81.838,0.174655,2,0.1235,27.0215,22.195,32.745,27.018,22.129,32.691,2
2018,1,VER,81.9955,81.879,0.164755,2,0.1165,27.0655,22.315,32.615,26.971,22.241,32.563,2
2018,1,RIC,82.269,82.152,0.165462,2,0.117,27.2385,22.4625,32.568,27.237,22.448,32.464,2
2018,1,MAG,83.187,83.187,0.0,1,0.0,27.49,22.632,33.065,27.49,22.632,33.065,1
2018,1,GRO,83.339,83.339,0.0,1,0.0,27.546,22.684,33.109,27.546,22.684,33.109,1
2018,1,HUL,83.532,83.532,0.0,1,0.0,27.544,22.653,33.335,27.544,22.653,33.335,1
2018,1,SAI,83.577,83.577,0.0,1,0.0,27.641,22.695,33.241,27.641,22.695,33.241,1
2018,2,VET,96.30625,87.958,16.283265,4,8.34825,31.1575,40.4005,24.74825,27.989,37.893,22.076,4
2018,2,RAI,93.5575,88.101,10.499027,4,5.4565,29.944,40.2165,23.397,28.047,37.859,22.121,4
2018,2,BOT,94.9456,88.124,14.291308,5,6.8216,29.9268,40.6026,24.4162,28.014,37.98,22.129,5
2018,2,HAM,96.3155,88.22,18.460336,6,8.0955,30.886,41.755,23.6745,28.081,37.99,22.053,6
2018,2,RIC,88.8305,88.398,0.548249,4,0.4325,28.47075,38.13175,22.228,28.275,37.877,22.081,4
2018,2,GAS,90.074833,89.329,0.469701,6,0.745833,28.6985,38.8135,22.562833,28.413,38.471,22.445,6
2018,2,MAG,89.65275,89.358,0.281717,4,0.29475,28.55675,38.60675,22.48925,28.447,38.415,22.384,4
2018,2,HUL,89.8548,89.187,0.496031,5,0.6678,28.7236,38.5954,22.535800000000002,28.582,38.362,22.243,5
2018,2,OCO,90.2174,89.874,0.315395,5,0.3434,28.599,38.919200000000004,22.6992,28.481,38.691,22.619,5
2018,2,SAI,90.2085,89.802,0.434436,6,0.4065,28.764666,38.8475,22.596333,28.595,38.686,22.453,6
2018,2,HAR,90.559,90.105,0.493534,4,0.454,28.8635,39.13525,22.56025,28.681,38.918,22.476,4
2018,2,PER,90.263333,90.156,0.135798,3,0.107333,28.614,38.923333,22.726,28.564,38.855,22.642,3
2018,2,ALO,90.63675,90.212,0.482551,4,0.42475,29.0535,38.90575,22.6775,28.858,38.64,22.609,4
2018,2,VAN,90.64825,90.479,0.171501,4,0.16925,29.0535,38.89925,22.6955,28.998,38.791,22.57,4
2018,2,VER,109.617,89.374,28.627925,2,20.243,35.1455,50.0285,24.443,28.732,38.391,22.251,2
2018,2,GRO,90.53,90.53,0.0,1,0.0,28.782,38.903,22.845,28.782,38.903,22.845,1
2018,2,ERI,91.1175,91.063,0.077074,2,0.0545,28.9885,39.1845,22.9445,28.878,39.11,22.854,2
2018,2,SIR,98.465666,91.483,11.379711,3,6.982666,31.874333,42.786,23.805333,29.056,39.566,22.856,3
2018,2,LEC,91.42,91.42,0.0,1,0.0,29.404,39.273,22.743,29.404,39.273,22.743,1
2018,2,STR,104.810333,91.503,22.482398,3,13.307333,31.502,43.448,29.860333,29.107,39.506,22.89,3
2018,3,VET,99.617,91.095,16.016324,4,8.522,26.223,29.13325,44.26075,24.044,27.122,39.929,4
2018,3,RAI,101.56125,91.182,20.017157,4,10.37925,26.31225,30.30325,44.94575,24.006,27.109,39.936,4
2018,3,BOT,98.841714,91.625,13.441257,7,7.216714,25.547571,29.220571,44.073571,24.312,27.183,40.035,7
2018,3,HAM,96.1496,91.675,8.294517,5,4.4746,25.184,27.9518,43.0138,24.261,27.289,40.045,5
2018,3,VER,92.148,91.796,0.572846,3,0.352,24.347,27.423333,40.377666,24.171,27.306,40.254,3
2018,3,RIC,92.71375,91.948,0.832343,4,0.76575,24.5295,27.57525,40.609,24.308,27.307,40.281,4
2018,3,HUL,92.65425,92.494,0.227605,4,0.16025,24.506,27.618,40.53025,24.47,27.491,40.352,4
2018,3,PER,93.057666,92.758,0.379212,3,0.299666,24.569333,27.832,40.656333000000004,24.499,27.739,40.52,3
2018,3,SAI,93.378333,92.819,0.465305,6,0.559333,24.7675,27.857666000000002,40.753166,24.579,27.686,40.499,6
