year,race_number,driver,finish_position,qualifying_position
2018,1,VAN,9.0,12.0
2018,1,RIC,4.0,5.0
2018,1,VET,1.0,3.0
2018,1,RAI,3.0,2.0
2018,1,GRO,16.0,7.0
2018,1,ERI,19.0,17.0
2018,1,GAS,18.0,20.0
2018,1,PER,11.0,13.0
2018,1,ALO,5.0,11.0
2018,1,LEC,13.0,18.0
2018,1,STR,14.0,14.0
2018,1,MAG,17.0,6.0
2018,1,HUL,7.0,8.0
2018,1,HAR,15.0,16.0
2018,1,OCO,12.0,15.0
2018,1,VER,6.0,4.0
2018,1,SIR,20.0,19.0
2018,1,HAM,2.0,1.0
2018,1,SAI,10.0,9.0
2018,1,BOT,8.0,10.0
2018,2,VAN,8.0,14.0
2018,2,RIC,20.0,5.0
2018,2,VET,1.0,1.0
2018,2,RAI,18.0,2.0
2018,2,GRO,13.0,16.0
2018,2,ERI,9.0,17.0
2018,2,GAS,4.0,6.0
2018,2,PER,16.0,12.0
2018,2,ALO,7.0,13.0
2018,2,LEC,12.0,19.0
2018,2,STR,14.0,20.0
2018,2,MAG,5.0,7.0
2018,2,HUL,6.0,8.0
2018,2,HAR,17.0,11.0
2018,2,OCO,10.0,9.0
2018,2,VER,19.0,15.0
2018,2,SIR,15.0,18.0
2018,2,HAM,3.0,4.0
2018,2,SAI,11.0,10.0
2018,2,BOT,2.0,3.0
2018,3,VAN,13.0,14.0
2018,3,RIC,1.0,6.0
2018,3,VET,8.0,1.0
2018,3,RAI,3.0,2.0
2018,3,GRO,17.0,10.0
2018,3,ERI,16.0,20.0
2018,3,GAS,18.0,17.0
2018,3,PER,12.0,8.0
2018,3,ALO,7.0,13.0
2018,3,LEC,19.0,19.0
2018,3,STR,14.0,18.0
2018,3,MAG,10.0,11.0
2018,3,HUL,6.0,7.0
2018,3,HAR,20.0,15.0
2018,3,OCO,11.0,12.0
2018,3,VER,5.0,5.0
2018,3,SIR,15.0,16.0
2018,3,HAM,4.0,4.0
2018,3,SAI,9.0,9.0
2018,3,BOT,2.0,3.0
2018,4,VAN,9.0,16.0
2018,4,RIC,17.0,4.0
2018,4,VET,4.0,1.0
2018,4,RAI,2.0,6.0
2018,4,GRO,15.0,20.0
2018,4,ERI,11.0,18.0
2018,4,GAS,12.0,17.0
2018,4,PER,3.0,8.0
2018,4,ALO,7.0,13.0
2018,4,LEC,6.0,14.0
2018,4,STR,8.0,11.0
2018,4,MAG,13.0,15.0
2018,4,HUL,18.0,9.0
2018,4,HAR,10.0,19.0
2018,4,OCO,19.0,7.0
2018,4,VER,16.0,5.0
2018,4,SIR,20.0,12.0
2018,4,HAM,1.0,2.0
2018,4,SAI,5.0,10.0
2018,4,BOT,14.0,3.0
2018,5,VAN,15.0,11.0
2018,5,RIC,5.0,6.0
2018,5,VET,4.0,3.0
2018,5,RAI,17.0,4.0
2018,5,GRO,18.0,10.0
2018,5,ERI,13.0,17.0
2018,5,GAS,19.0,12.0
2018,5,PER,9.0,15.0
2018,5,ALO,8.0,8.0
2018,5,LEC,10.0,14.0
2018,5,STR,11.0,19.0
2018,5,MAG,6.0,7.0
2018,5,HUL,20.0,16.0
2018,5,HAR,12.0,20.0
2018,5,OCO,16.0,13.0
2018,5,VER,3.0,5.0
2018,5,KUB,DNF,DNF
2018,5,HAM,1.0,1.0
2018,5,SAI,7.0,9.0
2018,5,BOT,2.0,2.0
2018,5,SIR,14.0,18.0
2018,6,VAN,14.0,12.0
2018,6,RIC,1.0,1.0
2018,6,VET,2.0,2.0
2018,6,RAI,4.0,4.0
2018,6,GRO,15.0,15.0
2018,6,ERI,11.0,17.0
2018,6,GAS,7.0,10.0
2018,6,PER,12.0,9.0
2018,6,ALO,20.0,7.0
2018,6,LEC,18.0,14.0
2018,6,STR,17.0,18.0
2018,6,MAG,13.0,19.0
2018,6,HUL,8.0,11.0
2018,6,HAR,19.0,16.0
2018,6,OCO,6.0,6.0
2018,6,VER,9.0,20.0
2018,6,SIR,16.0,13.0
2018,6,HAM,3.0,3.0
2018,6,SAI,10.0,8.0
2018,6,BOT,5.0,5.0
2018,7,VAN,16.0,15.0
2018,7,RIC,4.0,6.0
2018,7,VET,1.0,1.0
2018,7,RAI,6.0,5.0
2018,7,GRO,12.0,20.0
2018,7,ERI,15.0,19.0
2018,7,GAS,11.0,16.0
2018,7,ALO,18.0,14.0
2018,7,LEC,10.0,13.0
2018,7,STR,20.0,17.0
2018,7,MAG,13.0,11.0
2018,7,HUL,7.0,7.0
2018,7,HAR,19.0,12.0
2018,7,OCO,9.0,8.0
2018,7,VER,3.0,3.0
2018,7,LAT,DNF,DNF
2018,7,SIR,17.0,18.0
2018,7,HAM,5.0,4.0
2018,7,SAI,8.0,9.0
2018,7,BOT,2.0,2.0
2018,7,PER,14.0,10.0
2018,8,VAN,12.0,18.0
2018,8,RIC,4.0,5.0
2018,8,VET,5.0,3.0
2018,8,RAI,3.0,6.0
2018,8,GRO,11.0,10.0
2018,8,ERI,13.0,15.0
2018,8,GAS,20.0,14.0
2018,8,PER,18.0,13.0
2018,8,ALO,16.0,16.0
2018,8,LEC,10.0,8.0
2018,8,STR,17.0,20.0
2018,8,MAG,6.0,9.0
2018,8,HUL,9.0,12.0
2018,8,HAR,14.0,17.0
2018,8,OCO,19.0,11.0
2018,8,VER,2.0,4.0
2018,8,SIR,15.0,19.0
2018,8,HAM,1.0,1.0
2018,8,SAI,8.0,7.0
2018,8,BOT,7.0,2.0
2018,9,VAN,15.0,16.0
2018,9,RIC,18.0,7.0
2018,9,VET,3.0,3.0
2018,9,RAI,2.0,4.0
2018,9,GRO,4.0,6.0
2018,9,ERI,10.0,20.0
2018,9,GAS,11.0,12.0
